doc_id,item,category,amount,price,discount
DOC-20250905182132-4427,полотенце,текстиль,3,1968.23,15.78
DOC-20250905182132-3458,молоко,текстиль,5,3963.47,1165.78
DOC-20250905182132-3458,сковорода,продукты питания,3,2380.13,354.55
DOC-20250905182132-3458,стиральный порошок,посуда,2,4890.56,1403.5
DOC-20250905182132-3814,полотенце,текстиль,4,1416.04,120.0
DOC-20250905182132-9929,ручка,товары для дома,2,4752.77,41.58
DOC-20250905182132-9929,стиральный порошок,товары для дома,3,1078.55,147.99
DOC-20250905182132-9929,сковорода,продукты питания,3,2326.97,203.25
DOC-20250905182132-9929,сковорода,товары для дома,2,2420.0,107.9
DOC-20250905182132-9929,утюг,бытовая химия,1,4478.98,1342.82
DOC-20250905182132-5514,утюг,текстиль,2,530.99,60.43
DOC-20250905182132-5514,молоко,товары для дома,5,3255.06,57.15
DOC-20250905182132-5514,утюг,канцелярия,2,2532.91,54.4
DOC-20250905182132-5514,сковорода,товары для дома,5,2500.87,147.6
DOC-20250905182132-5424,сковорода,канцелярия,2,3436.25,291.7
DOC-20250905182132-5424,молоко,посуда,1,3523.05,711.2
DOC-20250905182132-5424,молоко,посуда,4,3155.01,826.25
DOC-20250905182132-5424,сковорода,продукты питания,4,4062.55,958.98
DOC-20250905182132-1454,стиральный порошок,товары для дома,3,3168.68,382.45
DOC-20250905182132-1454,сковорода,текстиль,2,2406.17,661.8
DOC-20250905182132-1454,полотенце,бытовая химия,2,1117.86,221.54
DOC-20250905182132-7007,утюг,текстиль,5,3704.75,686.28
DOC-20250905182132-7007,ручка,бытовая химия,1,3066.93,644.57
DOC-20250905182132-7007,полотенце,канцелярия,2,4636.27,1051.66
DOC-20250905182132-7007,сковорода,канцелярия,1,987.8,219.84
DOC-20250905182132-7007,полотенце,канцелярия,1,4107.88,426.02
DOC-20250905182132-1727,полотенце,текстиль,3,308.49,43.32
DOC-20250905182132-1727,стиральный порошок,продукты питания,4,3949.83,641.39
DOC-20250905182132-1727,полотенце,товары для дома,2,4120.85,895.82
DOC-20250905182132-3001,молоко,текстиль,3,1650.0,392.16
DOC-20250905182132-3001,сковорода,посуда,5,253.86,28.39
DOC-20250905182132-3001,стиральный порошок,товары для дома,3,3940.45,155.82
DOC-20250905182132-3001,ручка,бытовая химия,1,2049.01,321.66
DOC-20250905182132-4753,молоко,посуда,2,2255.41,584.85
DOC-20250905182132-4753,полотенце,посуда,1,4705.46,24.81
DOC-20250905182132-4753,сковорода,канцелярия,4,1900.82,225.72
DOC-20250905182132-4433,ручка,продукты питания,2,237.87,6.26
DOC-20250905182132-6715,стиральный порошок,текстиль,1,595.39,153.13
DOC-20250905182132-9591,утюг,посуда,3,4466.06,911.49
DOC-20250905182132-9591,полотенце,посуда,2,1347.52,50.99
DOC-20250905182132-9591,утюг,товары для дома,4,2712.14,690.53
DOC-20250905182132-9591,сковорода,текстиль,2,4948.25,439.55
DOC-20250905182132-4001,ручка,бытовая химия,2,1388.07,264.27
DOC-20250905182132-4001,полотенце,продукты питания,4,93.91,19.67
DOC-20250905182132-4001,утюг,бытовая химия,5,1331.21,286.0
DOC-20250905182132-4001,полотенце,посуда,3,3887.44,893.79
DOC-20250905182132-2080,молоко,продукты питания,2,4010.97,434.13
DOC-20250905182132-2080,полотенце,посуда,2,2920.61,469.07
DOC-20250905182132-2080,полотенце,посуда,1,4260.26,961.38
DOC-20250905182132-2080,стиральный порошок,посуда,4,4373.13,120.1
DOC-20250905182132-2080,полотенце,текстиль,5,3570.23,828.99
DOC-20250905182132-2478,молоко,канцелярия,3,4536.14,94.26
DOC-20250905182132-2478,полотенце,канцелярия,1,3444.29,569.49
DOC-20250905182132-2478,стиральный порошок,продукты питания,2,1673.97,3.06
DOC-20250905182132-3473,молоко,текстиль,4,3217.34,13.54
DOC-20250905182132-3473,стиральный порошок,бытовая химия,4,1583.44,149.71
DOC-20250905182132-3473,ручка,бытовая химия,1,755.4,141.51
DOC-20250905182132-3473,ручка,бытовая химия,5,4955.83,1238.3
DOC-20250905182132-1534,ручка,текстиль,2,2780.21,618.29
DOC-20250905182132-1534,стиральный порошок,канцелярия,1,209.09,45.22
DOC-20250905182132-1534,стиральный порошок,текстиль,1,3309.65,194.81
DOC-20250905182132-1534,полотенце,товары для дома,5,1348.83,185.81
DOC-20250905182132-1534,утюг,бытовая химия,1,3588.9,808.57
DOC-20250905182132-4999,полотенце,продукты питания,1,1298.96,144.97
DOC-20250905182132-4999,полотенце,товары для дома,4,4686.21,396.57
DOC-20250905182132-4999,полотенце,бытовая химия,2,4750.05,401.25
DOC-20250905182132-4999,полотенце,продукты питания,1,1768.02,280.01
DOC-20250905182132-4999,сковорода,бытовая химия,2,4023.64,589.25
DOC-20250905182132-5399,сковорода,посуда,4,4267.32,944.46
DOC-20250905182132-5399,полотенце,товары для дома,1,3603.05,574.03
DOC-20250905182132-2730,молоко,канцелярия,1,3137.88,602.12
DOC-20250905182132-2730,полотенце,канцелярия,1,3893.04,1029.96
DOC-20250905182132-2730,молоко,канцелярия,4,1676.08,188.86
DOC-20250905182132-6776,утюг,бытовая химия,5,2626.23,319.41
DOC-20250905182132-0594,ручка,бытовая химия,1,947.93,58.84
DOC-20250905182132-0594,утюг,текстиль,3,4433.48,1144.54
DOC-20250905182132-0594,полотенце,текстиль,5,1340.14,325.69
DOC-20250905182132-0594,стиральный порошок,товары для дома,5,1414.72,310.07
DOC-20250905182132-0594,утюг,канцелярия,1,4226.91,705.56
DOC-20250905182132-8979,полотенце,товары для дома,1,294.95,7.25
DOC-20250905182132-8979,ручка,текстиль,2,2094.69,368.71
DOC-20250905182132-9455,ручка,продукты питания,5,4427.75,660.63
DOC-20250905182132-9455,молоко,текстиль,1,4230.62,1047.2
DOC-20250905182132-9455,полотенце,текстиль,4,3609.82,759.78
DOC-20250905182132-6322,полотенце,продукты питания,2,2841.4,747.73
DOC-20250905182132-6322,полотенце,продукты питания,4,3402.8,1007.68
DOC-20250905182132-6322,сковорода,продукты питания,3,3185.91,69.96
DOC-20250905182132-2232,сковорода,товары для дома,4,3626.31,585.5
DOC-20250905182132-2232,утюг,текстиль,4,2008.98,237.69
DOC-20250905182132-2232,полотенце,продукты питания,3,3384.21,311.2
DOC-20250905182132-2184,сковорода,канцелярия,4,118.67,27.41
DOC-20250905182132-2184,полотенце,бытовая химия,4,1441.34,126.75
DOC-20250905182132-8769,утюг,продукты питания,2,3068.96,340.05
DOC-20250905182132-5726,утюг,текстиль,5,3010.24,531.61
DOC-20250905182132-5726,сковорода,посуда,3,265.38,39.25
DOC-20250905182132-5726,сковорода,товары для дома,4,1303.09,334.6
DOC-20250905182132-0148,полотенце,продукты питания,5,3430.17,901.6
DOC-20250905182132-0148,ручка,канцелярия,5,1828.75,358.36
DOC-20250905182132-0148,ручка,канцелярия,1,1223.61,267.45
DOC-20250905182132-0148,полотенце,товары для дома,2,2293.07,454.22
DOC-20250905182132-1192,полотенце,канцелярия,2,1509.51,212.25
DOC-20250905182132-1192,сковорода,товары для дома,5,1850.05,349.33
DOC-20250905182132-1192,полотенце,текстиль,1,4378.72,1004.32
DOC-20250905182132-1192,утюг,текстиль,2,4718.09,667.57
DOC-20250905182132-5305,сковорода,канцелярия,4,3577.62,630.45
DOC-20250905182132-9807,сковорода,продукты питания,5,4421.32,915.02
DOC-20250905182132-9807,ручка,посуда,1,2539.83,592.3
DOC-20250905182132-9807,молоко,бытовая химия,5,436.85,56.77
DOC-20250905182132-9807,утюг,продукты питания,2,1600.91,380.54
DOC-20250905182132-8470,молоко,посуда,2,1299.77,127.17
DOC-20250905182132-8470,утюг,посуда,3,930.45,122.92
DOC-20250905182132-8470,ручка,товары для дома,4,154.44,12.51
DOC-20250905182132-3986,стиральный порошок,текстиль,1,1227.96,71.09
DOC-20250905182132-3986,полотенце,посуда,5,1911.2,56.07
DOC-20250905182132-3986,молоко,бытовая химия,2,164.79,7.26
DOC-20250905182132-3721,сковорода,продукты питания,3,3559.52,8.49
DOC-20250905182132-1150,молоко,посуда,1,4564.74,625.55
DOC-20250905182132-4127,молоко,товары для дома,4,3825.04,997.83
DOC-20250905182132-6732,стиральный порошок,посуда,4,2333.37,298.92
DOC-20250905182132-6732,полотенце,текстиль,5,114.97,5.66
DOC-20250905182132-6732,утюг,посуда,2,3097.12,627.01
DOC-20250905182132-9548,ручка,посуда,4,2691.99,83.39
DOC-20250905182132-9548,молоко,канцелярия,5,3846.91,899.4
DOC-20250905182132-9548,сковорода,текстиль,2,1596.55,154.48
DOC-20250905182132-2215,утюг,бытовая химия,2,2615.2,603.31
DOC-20250905182132-2215,молоко,товары для дома,5,1606.66,99.56
DOC-20250905182132-7466,полотенце,продукты питания,3,1590.72,106.62
DOC-20250905182132-7466,ручка,продукты питания,4,4758.77,566.35
DOC-20250905182132-7466,ручка,посуда,1,4052.2,71.83
DOC-20250905182132-7466,ручка,канцелярия,1,2795.23,24.79
DOC-20250905182132-9558,полотенце,канцелярия,1,4731.11,484.25
DOC-20250905182132-9558,молоко,посуда,3,1051.8,119.44
DOC-20250905182132-7643,утюг,товары для дома,3,4745.14,779.33
DOC-20250905182132-7643,ручка,канцелярия,4,50.22,7.81
DOC-20250905182132-7643,полотенце,текстиль,2,3410.36,15.09
DOC-20250905182132-1891,утюг,текстиль,1,1831.9,108.64
DOC-20250905182132-1891,молоко,посуда,2,4669.29,678.8
DOC-20250905182132-8356,утюг,посуда,3,1370.31,106.2
DOC-20250905182132-8044,полотенце,канцелярия,5,3625.98,653.01
DOC-20250905182132-8044,утюг,канцелярия,2,1315.45,209.49
DOC-20250905182132-8044,ручка,товары для дома,5,150.7,1.47
DOC-20250905182132-7140,молоко,продукты питания,5,4387.57,1196.73
DOC-20250905182132-7140,стиральный порошок,бытовая химия,2,2624.2,311.01
DOC-20250905182132-7140,стиральный порошок,текстиль,1,4942.78,1071.29
DOC-20250905182132-7140,сковорода,канцелярия,1,336.28,7.62
DOC-20250905182132-1977,сковорода,посуда,1,1689.68,298.32
DOC-20250905182132-1977,полотенце,посуда,5,4660.55,1197.31
DOC-20250905182132-1977,молоко,посуда,5,1120.8,162.43
DOC-20250905182132-1977,сковорода,посуда,4,147.83,5.95
DOC-20250905182132-1977,ручка,бытовая химия,3,384.59,71.28
DOC-20250905182132-1783,сковорода,канцелярия,2,1114.95,15.25
DOC-20250905182132-1783,полотенце,товары для дома,1,3392.17,699.42
DOC-20250905182132-1783,стиральный порошок,бытовая химия,2,804.15,174.95
DOC-20250905182132-5797,стиральный порошок,текстиль,3,2405.58,191.68
DOC-20250905182132-5797,молоко,товары для дома,5,1592.62,24.76
DOC-20250905182132-5797,молоко,бытовая химия,4,455.4,98.72
DOC-20250905182132-2477,сковорода,посуда,4,1788.64,407.62
